draw_no,draw_date,n1,n2,n3,n4,n5,n6,n7,bonus1,bonus2
514,2023/03/17,1,5,10,17,20,27,37,3,22
515,2023/03/24,3,15,17,22,26,27,28,6,8
516,2023/03/31,7,12,15,16,18,25,36,9,19
517,2023/04/07,3,6,10,16,26,29,31,7,24
518,2023/04/14,5,8,11,24,30,32,36,4,35
519,2023/04/21,1,2,8,14,17,21,34,20,26
520,2023/04/28,9,22,25,28,33,34,37,15,16
521,2023/05/05,21,24,25,27,30,33,36,3,31
522,2023/05/12,1,10,12,19,22,25,37,2,34
523,2023/05/19,3,17,19,27,28,32,35,2,34
524,2023/05/26,4,17,22,27,29,31,34,3,37
525,2023/06/02,11,14,17,18,21,25,31,1,27
526,2023/06/09,4,13,17,19,20,26,29,2,28
527,2023/06/16,4,8,12,25,27,32,34,15,17
528,2023/06/23,5,7,10,19,30,32,33,1,17
529,2023/06/30,7,9,13,14,22,26,29,10,21
530,2023/07/07,1,11,13,28,29,30,34,23,27
531,2023/07/14,4,6,9,11,14,28,30,10,12
532,2023/07/21,4,9,13,18,26,28,36,8,16
533,2023/07/28,2,4,9,11,14,25,37,29,32
534,2023/08/04,10,17,18,19,20,24,25,30,32
535,2023/08/11,5,11,12,19,29,32,36,9,26
536,2023/08/18,8,12,16,17,22,28,34,9,37
537,2023/08/25,2,3,9,13,14,35,37,4,17
538,2023/09/01,1,2,11,12,16,25,28,6,22
539,2023/09/08,4,6,8,18,20,27,35,24,26
540,2023/09/15,3,7,10,18,19,28,36,13,26
541,2023/09/22,6,14,23,25,27,28,34,19,37
542,2023/09/29,2,9,26,31,33,35,36,15,20
543,2023/10/06,2,11,13,18,23,24,36,17,26
544,2023/10/13,10,11,18,21,22,29,34,4,32
545,2023/10/20,3,12,16,17,27,30,34,15,37
546,2023/10/27,7,14,17,28,33,35,36,13,27
547,2023/11/03,4,11,14,18,23,25,29,17,32
548,2023/11/10,1,13,16,17,18,25,30,20,34
549,2023/11/17,13,19,20,28,33,34,35,4,32
550,2023/11/24,7,8,13,22,24,29,30,10,35
551,2023/12/01,15,16,17,22,29,32,37,23,24
552,2023/12/08,7,11,12,16,18,33,34,1,14
553,2023/12/15,2,6,13,15,16,20,33,9,28
554,2023/12/22,4,10,15,17,29,32,36,13,30
555,2023/12/29,9,12,17,19,26,32,34,11,22
556,2024/01/05,17,20,26,28,29,33,35,1,6
557,2024/01/12,3,5,7,10,17,18,35,2,21
558,2024/01/19,15,20,21,22,23,26,34,6,10
559,2024/01/26,3,4,10,13,15,18,22,2,16
560,2024/02/02,3,20,29,32,33,34,35,2,24
561,2024/02/09,6,8,19,20,27,32,37,13,33
562,2024/02/16,2,14,15,20,28,30,34,3,4
563,2024/02/23,1,4,6,14,16,19,31,12,18
564,2024/03/01,9,13,15,18,22,24,30,6,27
565,2024/03/08,3,6,9,11,19,30,36,1,33
566,2024/03/15,3,5,18,25,28,35,37,7,8
567,2024/03/22,6,8,16,18,19,34,37,15,30
568,2024/03/29,8,18,20,29,30,33,34,5,23
569,2024/04/05,12,15,17,22,30,34,35,5,9
570,2024/04/12,1,3,9,12,25,26,35,29,31
571,2024/04/19,13,26,27,29,30,34,37,2,23
572,2024/04/26,1,2,4,19,21,26,28,3,25
573,2024/05/03,11,12,18,19,23,26,31,15,25
574,2024/05/10,4,5,13,16,22,23,35,36,37
575,2024/05/17,2,12,18,20,25,28,30,9,23
576,2024/05/24,11,13,14,18,19,23,31,7,27
577,2024/05/31,11,13,19,25,29,36,37,18,30
578,2024/06/07,2,15,19,20,22,31,36,13,23
579,2024/06/14,7,19,23,33,34,35,36,5,10
580,2024/06/21,4,13,14,15,17,27,33,2,11
581,2024/06/28,3,8,10,15,18,23,37,17,24
582,2024/07/05,5,7,22,29,30,32,36,3,33
583,2024/07/12,1,5,8,9,20,30,37,11,26
584,2024/07/19,10,11,12,17,23,30,36,20,21
585,2024/07/26,6,11,13,14,16,27,34,12,25
586,2024/08/02,1,2,4,14,15,22,23,13,36
587,2024/08/09,15,18,21,22,23,25,32,1,30
588,2024/08/16,3,5,9,13,15,21,31,12,17
589,2024/08/23,1,6,8,9,14,29,33,5,23
590,2024/08/30,1,3,9,10,15,25,35,19,28
591,2024/09/06,4,7,8,11,21,23,35,10,24
592,2024/09/13,3,8,11,15,19,24,32,14,30
593,2024/09/20,3,8,9,14,15,22,32,1,12
594,2024/09/27,5,12,21,25,27,34,36,10,32
595,2024/10/04,14,15,16,19,25,28,33,6,29
596,2024/10/11,1,9,16,19,23,29,32,5,37
597,2024/10/18,2,4,14,15,22,27,34,1,5
598,2024/10/25,1,4,7,11,12,18,26,3,33
599,2024/11/01,4,7,16,19,26,31,33,25,29
600,2024/11/08,1,2,12,16,19,29,32,9,37
601,2024/11/15,4,8,18,20,29,35,37,19,34
602,2024/11/22,7,15,18,24,29,31,34,5,25
603,2024/11/29,4,9,10,23,28,30,34,18,31
604,2024/12/06,4,6,9,12,25,31,36,27,30
605,2024/12/13,2,8,15,26,28,31,32,19,24
606,2024/12/20,9,17,18,20,22,27,36,25,37
607,2024/12/27,12,14,20,27,31,34,37,19,21
608,2025/01/10,7,10,11,18,20,29,30,32,36
609,2025/01/17,4,11,12,23,26,32,37,1,9
610,2025/01/24,1,8,9,23,24,31,36,21,28
611,2025/01/31,7,8,11,18,20,30,34,5,14
612,2025/02/07,5,13,16,23,27,31,34,26,33
613,2025/02/14,3,5,6,10,19,21,35,13,27
614,2025/02/21,14,21,22,23,24,28,34,5,37
615,2025/02/28,4,11,21,26,27,28,33,10,13
616,2025/03/07,7,15,20,28,29,34,36,1,35
617,2025/03/14,2,6,10,12,25,28,35,27,31
618,2025/03/21,7,17,20,23,24,34,36,25,35
619,2025/03/28,8,9,18,20,27,29,32,7,12
620,2025/04/04,2,4,8,10,12,29,32,6,13
621,2025/04/11,1,2,12,13,14,30,36,9,24
622,2025/04/18,1,10,28,29,30,33,34,21,27
623,2025/04/25,9,12,22,26,28,31,37,7,30
624,2025/05/02,2,14,15,26,27,34,36,9,24
625,2025/05/09,3,10,12,18,19,24,32,4,15
626,2025/05/16,1,3,7,12,17,32,34,14,30
627,2025/05/23,9,15,21,30,33,34,37,10,35
628,2025/05/30,1,8,9,11,18,27,35,16,34
629,2025/06/06,2,7,9,21,23,24,30,22,29
630,2025/06/13,4,6,8,23,28,29,34,10,19
631,2025/06/20,2,3,6,17,33,35,36,25,37
632,2025/06/27,5,7,10,11,29,31,37,13,25
633,2025/07/04,2,5,10,17,21,31,36,20,32
634,2025/07/11,2,12,18,29,32,36,37,5,21
635,2025/07/18,10,12,20,29,30,31,34,4,15
636,2025/07/25,10,14,17,20,26,27,29,3,11
637,2025/08/01,1,4,7,8,9,20,21,11,30
638,2025/08/08,1,6,18,19,35,36,37,11,24
639,2025/08/15,5,9,12,15,30,31,34,13,29
640,2025/08/22,2,7,9,12,13,14,29,15,30
641,2025/08/29,1,3,7,23,24,33,36,17,30
642,2025/09/05,1,7,22,23,33,34,35,2,24
643,2025/09/12,1,5,15,16,18,27,34,19,22
644,2025/09/19,1,11,12,14,20,26,29,2,5
645,2025/09/26,7,10,16,20,26,32,35,24,33
646,2025/10/03,5,12,13,15,18,35,37,11,29
647,2025/10/10,4,5,9,13,17,22,28,18,31
648,2025/10/17,3,17,19,24,28,29,35,7,13
649,2025/10/24,12,22,23,26,33,35,37,2,21
650,2025/10/31,1,8,10,14,25,33,35,12,21
651,2025/11/07,2,13,19,20,24,26,35,29,36
652,2025/11/14,1,16,21,26,27,30,35,6,37
653,2025/11/21,6,7,12,25,26,30,33,13,15
654,2025/11/28,3,12,25,29,30,32,33,28,31
655,2025/12/05,4,5,12,13,24,26,33,3,14
656,2025/12/12,1,4,6,20,30,34,37,14,25
657,2025/12/19,9,11,16,23,27,29,32,6,24
658,2025/12/26,10,12,16,18,19,22,37,11,20
659,2026/01/09,2,8,9,14,27,34,36,5,18
660,2026/01/16,4,6,12,13,16,17,31,14,20
661,2026/01/23,7,12,17,22,31,34,35,20,32
662,2026/01/30,4,14,15,21,22,24,37,5,20
663,2026/02/06,4,6,10,11,13,17,23,25,32
664,2026/02/13,3,6,8,14,21,22,31,17,37
665,2026/02/20,6,8,14,19,22,25,35,12,17
666,2026/02/27,2,17,18,22,23,25,33,16,34
667,2026/03/06,9,13,20,22,28,29,33,21,23
668,2026/03/13,1,8,11,14,18,22,29,19,35
669,2026/03/20,3,5,6,7,9,13,16,11,23
670,2026/03/27,3,4,9,10,18,21,37,15,23
671,2026/04/03,7,13,16,22,28,33,36,2,25
672,2026/04/10,7,11,15,16,17,24,33,6,9
673,2026/04/17,6,9,10,12,16,24,32,17,19
674,2026/04/24,1,6,7,9,12,22,26,8,14
675,2026/05/01,5,8,16,18,24,28,31,6,23
676,2026/05/08,2,6,15,19,20,22,27,31,33
677,2026/05/15,5,6,7,8,15,17,19,1,33
678,2026/05/22,2,6,12,15,24,26,34,18,20
679,2026/05/29,6,8,9,18,22,24,35,4,20
680,2026/06/05,9,10,22,26,27,31,36,20,29
681,2026/06/12,1,10,12,13,19,33,35,14,37
682,2026/06/19,11,14,17,23,28,30,36,12,20
683,2026/06/26,11,21,22,25,28,29,36,8,32
684,2026/07/03,8,14,17,19,20,32,36,21,25
685,2026/07/10,1,5,16,20,21,22,31,23,36
686,2026/07/17,1,3,16,18,32,34,35,2,15
687,2026/07/24,15,22,23,24,25,29,36,35,37
688,2026/07/31,4,21,25,28,30,35,37,12,16
689,2026/08/07,4,18,23,24,32,33,35,29,36
690,2026/08/14,3,10,14,17,18,20,25,19,34
691,2026/08/21,8,10,20,22,23,27,37,2,9
692,2026/08/28,7,9,15,18,20,28,31,21,34
